AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),Heel ADC0,MidFoot ADC1,Toe ADC2,LABEL
-893.8418689251845,405.8034119397095,-28.338631987934942,319596.67227965774,299729.9539380822,216103.24772946714,0,2010,1455,4
-827.5763077625846,400.1586877822599,-17.30324531887719,319186.0855043306,299927.2533929146,227148.50833844274,0,2011,1452,4
-763.1178037374056,393.1215234429867,-4.376593511454212,318632.7567142587,300009.1831295888,239225.2680167454,0,2013,1454,4
-701.1525829705731,384.7988531760141,10.160904992714572,317956.5800771314,299914.21717621235,252242.4488727307,0,2010,1451,4
-642.2839523967112,375.38156805832546,26.003236933839485,317174.3600287397,299590.4441143948,266100.692133417,0,2010,1455,4
-587.0249449648202,365.1424494544408,42.83895359883474,316301.99559030705,298999.9536123735,280695.3735315882,0,2009,1456,4
-535.7976475090173,354.42088724315437,60.37048900539163,315356.12920307677,298121.9512492447,295919.5585718411,0,2008,1452,4
-488.9436799554384,343.58907815980683,78.3277749912673,314354.5389075518,296952.7358796224,311666.43157171656,0,2012,1454,4
-446.7457611075465,332.9967568903115,96.47384592200059,313315.19529126247,295502.3678173229,327832.0696687845,0,2009,1454,4
-409.45288230331374,322.91417266364783,114.59947810383053,312254.8784206118,293789.9819390431,344317.7006350287,0,2009,1456,4
-377.2993733875984,313.4961081867401,132.50943206143106,311188.779208232,291839.4402364551,361030.5917182944,0,2006,1456,4
-350.5112859690239,304.7706889050075,150.01007659628598,310131.7214874588,289675.7240809997,377884.4836714902,0,2010,1452,4
-329.2999493730291,296.64972427376,166.90679149775264,309100.28969576006,287322.8713864347,394799.4105827405,0,2009,1453,4
-313.84723004622157,288.9578696572222,183.01414927194818,308114.9989727563,284804.0155815833,411700.40508063155,0,2008,1454,4
-304.28937200113415,281.47290010252925,198.17564996396248,307202.2536778842,282142.46860373387,428515.95380389376,0,2009,1453,4
-300.7072528575073,273.96222907720363,212.28320695191474,306395.64949295676,279362.457997174,445176.7026567019,0,2010,1453,4
-303.1242991417895,266.20753616846,225.28883788945487,305735.7705786764,276488.73807574704,461614.66225484957,0,2009,1452,4
-311.5068092777416,258.02077728551166,237.20783300315355,305268.27970379085,273545.0613667174,477763.4087891447,0,2010,1452,4
-325.7642025498761,249.2519437112017,248.11395956586904,305041.1838556273,270552.4385522446,493558.6154648262,0,2010,1452,4
-345.75039270892216,239.78654779376114,258.1271014060239,305101.7657823884,267527.9787571457,508938.48892581207,0,2008,1454,4
-371.26672048328203,229.53586645323387,267.3949254616749,305492.9149570333,264484.3121255459,523844.70728235133,0,2008,1454,4
-402.0646419024074,218.42688934726297,276.07396016650307,306249.56395744946,261429.67871732343,538223.2534702248,0,2006,1454,4
-437.8479603363558,206.3972530184115,284.31526375601425,307395.99271822214,258368.95136766197,552024.5298687323,0,2007,1453,4
-478.2761412495836,193.39509687994897,292.2540882307022,308943.5717710605,255305.3980442759,565203.4125603155,0,2009,1453,4
-522.9677954798086,179.38203372964554,300.00218237589723,310888.8551609644,252242.51079805382,577719.164480837,0,2006,1456,4
-571.5056486373147,164.33774619503697,307.64200954802726,313212.39585435175,249185.38502379903,589534.9854264606,0,2008,1454,4
-623.445915910407,148.26380711150534,315.2213441359607,315878.209548178,246141.6507191236,600617.797378551,0,2009,1454,4
-678.3280607259541,131.18411723637587,322.74908640512825,318833.76602467697,243122.06770049143,610938.1711741388,0,2008,1453,4
-735.682474287691,113.13898791634197,330.1943609837492,322010.83154199645,240140.72615518185,620470.1764928316,0,2009,1452,4
-795.0397080848556,94.17246260098784,337.4881742626406,325327.3617694683,237214.88369819362,629191.5398207218,0,2009,1454,4
-855.9390831166643,74.31866666226162,344.52546838858734,328689.8145021949,234364.7243110545,637083.7900127757,0,2010,1451,4
-917.9341783133735,53.59085907797907,351.1685770758974,331995.78305094066,231613.13038157226,644131.8992961944,0,2010,1453,4
-980.5985895387909,31.971359158304,357.25416702612495,335137.55459513894,228985.3040081333,650323.6842415314,0,1997,1460,4
-1043.5300594600128,9.404060138953225,362.60200689020854,338005.89395526913,226508.3285078521,655649.1121988043,0,1996,1463,4
-1106.3492939351906,-14.207038600001512,367.0251426485583,340493.5433831196,224210.60456084425,660099.4734713238,0,1992,1465,4
-1168.695894000787,-38.99367013604747,370.3437124552603,342499.1105606463,222120.8389862927,663666.6149660988,0,1986,1471,4
-1230.2227167772814,-65.11505563314059,372.3991863780993,343930.71959015774,220266.79595306676,666342.3169368057,0,1984,1474,4
-1290.5885288959312,-92.74593789768969,373.06386034362043,344708.51246598817,218673.9901588123,668117.818648668,0,1980,1473,4
-1349.4512097340892,-122.06119472289822,372.2456506146336,344766.4608708935,217364.11937591768,668983.6170570474,0,1993,1468,3
-1406.4623681341243,-153.21994146392504,369.88868419903525,344053.60431535624,216353.62653030604,668929.5537182906,0,1997,1466,3
-1461.2649860130646,-186.3517645644651,365.9669738248534,342534.3439706763,215652.9444039124,667945.177688107,0,1989,1473,3
